,open,high,low,close,volume
2024-02-05,170.01,170.01,168.07,168.66,6381690.0
2024-02-02,168.15,170.575,167.92,169.57,7223562.0
2024-02-01,165.7,168.354,165.18,168.31,6930851.0
2024-01-31,167.8,167.8,165.11,165.25,8711625.0
2024-01-30,164.7,165.805,163.62,165.59,5090004.0
2024-01-29,164.35,165.405,163.52,165.04,6080104.0
2024-01-26,163.05,164.38,162.66,164.27,5248770.0
2024-01-25,161.4,162.87,160.42,162.84,5456534.0
2024-01-24,162.9,163.065,160.32,160.5,7025712.0
2024-01-23,162.12,162.85,161.77,162.8,4022172.0
2024-01-22,162.79,162.95,161.5,162.39,4646127.0
2024-01-19,163.43,163.57,161.44,162.38,6391765.0
2024-01-18,161.16,163.39,160.68,163.24,6063537.0
2024-01-17,161.38,161.985,160.63,161.07,4942554.0
2024-01-16,161.44,162.4,161.23,161.83,5677530.0
2024-01-12,161.37,161.545,160.38,161.32,4542989.0
2024-01-11,161.35,161.89,160.17,161.11,4785069.0
2024-01-10,159.56,161.5001,159.56,161.29,6707346.0
2024-01-09,157.93,159.34,157.73,159.31,7774126.0
